onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval05	663	1887	663	2091	650
12546	-	baseline	-	-	-	-	-
18546	2	interval04	612	1513	612	2159	490
27516	3	beat02	510	1530	510	1530	571
35751	4	beat05	663	1989	663	1989	650
45289	5	interval01	459	1445	459	1309	551
53096	6	beat04	612	1836	612	1836	490
62066	7	beat03	561	1683	561	1683	550
70688	8	beat02	510	1530	510	1530	449
78801	9	interval04	612	1513	612	2159	624
87905	-	baseline	-	-	-	-	-
93905	10	interval02	510	1853	510	1207	449
102018	11	beat01	459	1377	459	1377	367
109641	-	baseline	-	-	-	-	-
115641	12	beat05	663	1989	663	1989	796
125325	13	interval01	459	1445	459	1309	404
132985	14	beat04	612	1836	612	1836	624
142089	15	beat01	459	1377	459	1377	404
149749	16	beat02	510	1530	510	1530	500
157913	17	interval03	561	1717	561	1649	628
166613	18	interval02	510	1853	510	1207	571
174848	-	baseline	-	-	-	-	-
180848	19	interval05	663	1887	663	2091	676
190412	20	beat03	561	1683	561	1683	628
199112	21	interval03	561	1717	561	1649	550
207734	22	interval02	510	1853	510	1207	500
215898	23	interval01	459	1445	459	1309	367
223521	24	beat03	561	1683	561	1683	449
232042	25	beat05	663	1989	663	1989	676
241606	26	interval05	663	1887	663	2091	796
251290	27	beat01	459	1377	459	1377	551
259097	-	baseline	-	-	-	-	-
265097	28	interval04	612	1513	612	2159	539
274116	29	interval03	561	1717	561	1649	449
282637	30	beat04	612	1836	612	1836	539
